symbol,dt,open,high,low,close,volume,amount,pre_close,limit_up,limit_down,suspended,data_status,source,updated_at
510300.SH,2020-01-02T15:00:00+08:00,4.12,4.174,4.118,4.149,627623600.0,2603983232.0,4.149,4.564,3.734,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-03T15:00:00+08:00,4.156,4.162,4.133,4.139,469673800.0,1948030080.0,4.149,4.564,3.734,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-06T15:00:00+08:00,4.126,4.171,4.094,4.123,666504800.0,2760524448.0,4.139,4.553,3.725,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-07T15:00:00+08:00,4.134,4.16,4.128,4.155,464959500.0,1927362288.0,4.123,4.535,3.711,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-08T15:00:00+08:00,4.135,4.149,4.097,4.114,562852100.0,2321782208.0,4.155,4.571,3.74,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-09T15:00:00+08:00,4.138,4.165,4.134,4.158,394431700.0,1636905840.0,4.114,4.525,3.703,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-10T15:00:00+08:00,4.165,4.176,4.144,4.157,379555000.0,1576677936.0,4.158,4.574,3.742,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-13T15:00:00+08:00,4.156,4.205,4.141,4.202,373639200.0,1558366384.0,4.157,4.573,3.741,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-14T15:00:00+08:00,4.202,4.222,4.18,4.184,409962800.0,1723090048.0,4.202,4.622,3.782,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-15T15:00:00+08:00,4.184,4.19,4.145,4.152,319607400.0,1330016016.0,4.184,4.602,3.766,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-16T15:00:00+08:00,4.159,4.163,4.135,4.146,416297800.0,1726422320.0,4.152,4.567,3.737,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-17T15:00:00+08:00,4.152,4.175,4.137,4.151,321627400.0,1335598768.0,4.146,4.561,3.731,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-20T15:00:00+08:00,4.156,4.183,4.142,4.181,353488300.0,1472153088.0,4.151,4.566,3.736,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-21T15:00:00+08:00,4.163,4.163,4.1,4.105,618294600.0,2548564528.0,4.181,4.599,3.763,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-22T15:00:00+08:00,4.089,4.133,4.034,4.119,907393300.0,3709564736.0,4.105,4.516,3.695,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-01-23T15:00:00+08:00,4.081,4.09,3.956,3.996,753583400.0,3042046032.0,4.119,4.531,3.707,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-03T15:00:00+08:00,3.73,3.736,3.636,3.659,1471075800.0,5431562752.0,3.996,4.396,3.596,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-04T15:00:00+08:00,3.65,3.776,3.649,3.77,735843700.0,2749866016.0,3.659,4.025,3.293,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-05T15:00:00+08:00,3.784,3.855,3.768,3.807,553287500.0,2109910832.0,3.77,4.147,3.393,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-06T15:00:00+08:00,3.823,3.913,3.797,3.897,527965200.0,2038967056.0,3.807,4.188,3.426,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-07T15:00:00+08:00,3.87,3.892,3.844,3.888,346989100.0,1340754096.0,3.897,4.287,3.507,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-10T15:00:00+08:00,3.868,3.91,3.851,3.901,398519200.0,1549146624.0,3.888,4.277,3.499,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-11T15:00:00+08:00,3.909,3.96,3.907,3.943,422258800.0,1663318176.0,3.901,4.291,3.511,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-12T15:00:00+08:00,3.939,3.977,3.93,3.971,290783500.0,1150842640.0,3.943,4.337,3.549,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-13T15:00:00+08:00,3.97,3.985,3.938,3.95,325961000.0,1290560944.0,3.971,4.368,3.574,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-14T15:00:00+08:00,3.945,3.995,3.943,3.977,313979300.0,1247221632.0,3.95,4.345,3.555,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-17T15:00:00+08:00,3.986,4.07,3.986,4.064,581140100.0,2345003456.0,3.977,4.375,3.579,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-18T15:00:00+08:00,4.057,4.062,4.012,4.039,709951000.0,2867046800.0,4.064,4.47,3.658,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-19T15:00:00+08:00,4.036,4.069,4.029,4.04,440377200.0,1783390976.0,4.039,4.443,3.635,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-20T15:00:00+08:00,4.055,4.144,4.039,4.131,605241100.0,2472181760.0,4.04,4.444,3.636,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-21T15:00:00+08:00,4.123,4.178,4.117,4.145,444470200.0,1839049776.0,4.131,4.544,3.718,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510300.SH,2020-02-24T15:00:00+08:00,4.123,4.136,4.082,4.112,372727300.0,1532512768.0,4.145,4.56,3.73,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
