symbol,ex_date,factor
510500.SH,2020-01-02,0.8317564080509204
510500.SH,2020-01-03,0.8319024725274725
510500.SH,2020-01-06,0.832258064516129
510500.SH,2020-01-07,0.8328863560174321
510500.SH,2020-01-08,0.8322284548699643
510500.SH,2020-01-09,0.8328017458452242
510500.SH,2020-01-10,0.8326028320971004
510500.SH,2020-01-13,0.8331951583485326
510500.SH,2020-01-14,0.8331390507910075
510500.SH,2020-01-15,0.8329714381159178
510500.SH,2020-01-16,0.8330275229357798
510500.SH,2020-01-17,0.832746183526254
510500.SH,2020-01-20,0.8335258208216465
510500.SH,2020-01-21,0.8330550918196995
510500.SH,2020-01-22,0.8333333333333335
510500.SH,2020-01-23,0.8316985028394425
510500.SH,2020-02-03,0.8280576887057501
510500.SH,2020-02-04,0.8288819303739178
510500.SH,2020-02-05,0.8297872340425532
510500.SH,2020-02-06,0.83102784100858
510500.SH,2020-02-07,0.8314255983350676
510500.SH,2020-02-10,0.8318447268979732
510500.SH,2020-02-11,0.831608005521049
510500.SH,2020-02-12,0.8324315184308421
510500.SH,2020-02-13,0.8321105613376557
510500.SH,2020-02-14,0.8321404226312201
510500.SH,2020-02-17,0.8335256304598648
510500.SH,2020-02-18,0.8338783518639634
510500.SH,2020-02-19,0.8335256304598648
510500.SH,2020-02-20,0.8341692282802134
510500.SH,2020-02-21,0.8348463131071827
510500.SH,2020-02-24,0.8352532744200727
510500.SH,2020-02-25,0.83539739771124
510500.SH,2020-02-26,0.8344860865369149
510500.SH,2020-02-27,0.8344328238133548
510500.SH,2020-02-28,0.8323738570944803
510500.SH,2020-03-02,0.8338778177066319
510500.SH,2020-03-03,0.8341985723556133
510500.SH,2020-03-04,0.8342496765847347
510500.SH,2020-03-05,0.8347437330352866
510500.SH,2020-03-06,0.8345912959691665
510500.SH,2020-03-09,0.8330832082708022
510500.SH,2020-03-10,0.833931484502447
510500.SH,2020-03-11,0.8332781456953643
510500.SH,2020-03-12,0.8327742368332774
510500.SH,2020-03-13,0.8325730697752999
510500.SH,2020-03-16,0.8304332386363636
510500.SH,2020-03-17,0.8305865674286728
510500.SH,2020-03-18,0.8297948902482908
510500.SH,2020-03-19,0.8302425106990015
510500.SH,2020-03-20,0.8305894848645778
510500.SH,2020-03-23,0.8288770053475936
510500.SH,2020-03-24,0.8294545454545456
510500.SH,2020-03-25,0.8304633410260962
510500.SH,2020-03-26,0.8300770747445779
510500.SH,2020-03-27,0.82988298829883
510500.SH,2020-03-30,0.8289280469897209
510500.SH,2020-03-31,0.8289280469897209
510500.SH,2020-04-01,0.8288504053058217
510500.SH,2020-04-02,0.8302021828591876
510500.SH,2020-04-03,0.8295907279971025
510500.SH,2020-04-07,0.8308125219838199
510500.SH,2020-04-08,0.8309661581623706
510500.SH,2020-04-09,0.8313064628214037
510500.SH,2020-04-10,0.8306794055201698
510500.SH,2020-04-13,0.8301751877011083
510500.SH,2020-04-14,0.8311165558277913
510500.SH,2020-04-15,0.8309661581623706
510500.SH,2020-04-16,0.8312456506610995
510500.SH,2020-04-17,0.8312771503040833
510500.SH,2020-04-20,0.8318720990201135
510500.SH,2020-04-21,0.8314878892733564
510500.SH,2020-04-22,0.8318477888241343
510500.SH,2020-04-23,0.8316678152997932
510500.SH,2020-04-24,0.8310598111227702
510500.SH,2020-04-27,0.830993330993331
510500.SH,2020-04-28,0.8305624336752742
510500.SH,2020-04-29,0.8307149161518094
510500.SH,2020-04-30,0.8317547787153435
510500.SH,2020-05-06,0.8322876038663728
510500.SH,2020-05-07,0.832258064516129
510500.SH,2020-05-08,0.8328583403185248
510500.SH,2020-05-11,0.832716257152474
510500.SH,2020-05-12,0.8328017458452242
510500.SH,2020-05-13,0.832999331997328
510500.SH,2020-05-14,0.8328017458452242
510500.SH,2020-05-15,0.8327747989276139
510500.SH,2020-05-18,0.8325753747684015
510500.SH,2020-05-19,0.8331112591605596
510500.SH,2020-05-20,0.8328017458452242
510500.SH,2020-05-21,0.8323139653414883
510500.SH,2020-05-22,0.8316335350043215
510500.SH,2020-05-25,0.8314528727651449
510500.SH,2020-05-26,0.8321690236837622
510500.SH,2020-05-27,0.8319615912208506
510500.SH,2020-05-28,0.8318431911966988
510500.SH,2020-05-29,0.8321964529331515
510500.SH,2020-06-01,0.8335258208216465
510500.SH,2020-06-02,0.8333608587943849
510500.SH,2020-06-03,0.8334160463192721
510500.SH,2020-06-04,0.8333883751651254
510500.SH,2020-06-05,0.8336079077429982
510500.SH,2020-06-08,0.8334158824500577
510500.SH,2020-06-09,0.8337436402429017
510500.SH,2020-06-10,0.8337977380757252
510500.SH,2020-06-11,0.8336617405582923
510500.SH,2020-06-12,0.8336890494171729
510500.SH,2020-06-15,0.8336620644312953
510500.SH,2020-06-16,0.834355828220859
510500.SH,2020-06-17,0.8345611787315824
510500.SH,2020-06-18,0.834664536741214
510500.SH,2020-06-19,0.8350777037741833
510500.SH,2020-06-22,0.8349730244366868
510500.SH,2020-06-23,0.8352290679304897
510500.SH,2020-06-24,0.8350971410519664
510500.SH,2020-06-29,0.8349992067269554
510500.SH,2020-06-30,0.83552220137586
510500.SH,2020-07-01,0.835772104607721
510500.SH,2020-07-02,0.8363664168833156
510500.SH,2020-07-03,0.8368548143676425
510500.SH,2020-07-06,0.838495893963406
510500.SH,2020-07-07,0.8388017118402282
510500.SH,2020-07-08,0.8394405594405594
510500.SH,2020-07-09,0.8403487263315624
510500.SH,2020-07-10,0.8403819918144612
510500.SH,2020-07-13,0.8413328044426815
510500.SH,2020-07-14,0.8409486801554334
510500.SH,2020-07-15,0.840153277678938
510500.SH,2020-07-16,0.8385191587438778
510500.SH,2020-07-17,0.8384914351518641
510500.SH,2020-07-20,0.8394630121661306
510500.SH,2020-07-21,0.8396606869698234
510500.SH,2020-07-22,0.8399669467015562
510500.SH,2020-07-23,0.8399283055287466
510500.SH,2020-07-24,0.838326820089738
510500.SH,2020-07-27,0.8383779869659667
510500.SH,2020-07-28,0.8387327981651376
510500.SH,2020-07-29,0.8395595204906606
510500.SH,2020-07-30,0.839557980137082
510500.SH,2020-07-31,0.8398394241417497
510500.SH,2020-08-03,0.8406326034063261
510500.SH,2020-08-04,0.8404949687245037
510500.SH,2020-08-05,0.8407866379310345
510500.SH,2020-08-06,0.8407900040306329
510500.SH,2020-08-07,0.8404081632653061
510500.SH,2020-08-10,0.84062288422478
510500.SH,2020-08-11,0.8399062327633757
510500.SH,2020-08-12,0.8395251396648045
510500.SH,2020-08-13,0.8397052690115391
510500.SH,2020-08-14,0.8401644962302947
510500.SH,2020-08-17,0.8406541424516826
510500.SH,2020-08-18,0.8408480944712828
510500.SH,2020-08-19,0.8402948402948403
510500.SH,2020-08-20,0.8399503722084368
510500.SH,2020-08-21,0.8402302000548095
510500.SH,2020-08-24,0.8403979828267685
510500.SH,2020-08-25,0.8401369863013699
510500.SH,2020-08-26,0.839626584924063
510500.SH,2020-08-27,0.8399392349123049
510500.SH,2020-08-28,0.840418307754991
510500.SH,2020-08-31,0.8402948402948403
510500.SH,2020-09-01,0.8404716725399837
510500.SH,2020-09-02,0.8404991184049911
510500.SH,2020-09-03,0.8403109232237829
510500.SH,2020-09-04,0.8401757517506522
510500.SH,2020-09-07,0.8394334595428411
510500.SH,2020-09-08,0.8396042363433668
510500.SH,2020-09-09,0.8387880520222952
510500.SH,2020-09-10,0.8381561727497456
510500.SH,2020-09-11,0.8385003604902669
510500.SH,2020-09-14,0.8387235260446478
510500.SH,2020-09-15,0.8387970353477765
510500.SH,2020-09-16,0.8387189019159279
510500.SH,2020-09-17,0.8387787130831786
510500.SH,2020-09-18,0.8394058295964125
510500.SH,2020-09-21,0.8392378263937896
510500.SH,2020-09-22,0.8387880520222952
510500.SH,2020-09-23,0.8389987199544873
510500.SH,2020-09-24,0.8382886149383613
510500.SH,2020-09-25,0.8380855397148677
510500.SH,2020-09-28,0.8378854625550662
510500.SH,2020-09-29,0.8380466472303206
510500.SH,2020-09-30,0.8378100689857626
510500.SH,2020-10-09,0.8387696709585122
510500.SH,2020-10-12,0.8398112159911161
510500.SH,2020-10-13,0.8397169025811824
510500.SH,2020-10-14,0.8395595204906606
510500.SH,2020-10-15,0.8393258426966292
510500.SH,2020-10-16,0.8391470131337382
510500.SH,2020-10-19,0.8388476896748431
510500.SH,2020-10-20,0.8391796322489391
510500.SH,2020-10-21,0.8388476896748431
510500.SH,2020-10-22,0.8386911595866821
510500.SH,2020-10-23,0.8380507732710826
510500.SH,2020-10-26,0.838054906542056
510500.SH,2020-10-27,0.8380075956763073
510500.SH,2020-10-28,0.8382224803950044
510500.SH,2020-10-29,0.8383120649651972
510500.SH,2020-10-30,0.8373887240356083
510500.SH,2020-11-02,0.8375221762270846
510500.SH,2020-11-03,0.838136826783115
510500.SH,2020-11-04,0.8381132624836221
510500.SH,2020-11-05,0.8388294075660243
510500.SH,2020-11-06,0.838486984035668
510500.SH,2020-11-09,0.839111362671572
510500.SH,2020-11-10,0.8388659353184214
510500.SH,2020-11-11,0.8384770695125469
510500.SH,2020-11-12,0.838579847635475
510500.SH,2020-11-13,0.838626239402213
510500.SH,2020-11-16,0.8390396363119761
510500.SH,2020-11-17,0.8386727688787186
510500.SH,2020-11-18,0.8386773547094188
510500.SH,2020-11-19,0.8388612099644127
510500.SH,2020-11-20,0.8392151326933937
510500.SH,2020-11-23,0.8394283312316099
510500.SH,2020-11-24,0.8393833216538192
510500.SH,2020-11-25,0.838911835920809
510500.SH,2020-11-26,0.8387142857142857
510500.SH,2020-11-27,0.8389529093754446
510500.SH,2020-11-30,0.8386125842052458
510500.SH,2020-12-01,0.8391874735505712
510500.SH,2020-12-02,0.8391825229034531
510500.SH,2020-12-03,0.8393032729315915
510500.SH,2020-12-04,0.8394681595521344
510500.SH,2020-12-07,0.8392781615677429
510500.SH,2020-12-08,0.8392151326933937
510500.SH,2020-12-09,0.838686550043017
510500.SH,2020-12-10,0.8386773547094188
510500.SH,2020-12-11,0.8381839348079162
510500.SH,2020-12-14,0.8383648707207858
510500.SH,2020-12-15,0.8383838383838383
510500.SH,2020-12-16,0.8383545770567787
510500.SH,2020-12-17,0.8387235260446478
510500.SH,2020-12-18,0.8385985066053991
510500.SH,2020-12-21,0.8391519434628976
510500.SH,2020-12-22,0.8384493442859201
510500.SH,2020-12-23,0.8387327981651376
510500.SH,2020-12-24,0.8382694541231127
510500.SH,2020-12-25,0.838486984035668
510500.SH,2020-12-28,0.8383502170767004
510500.SH,2020-12-29,0.8382267441860466
510500.SH,2020-12-30,0.8384027677670463
510500.SH,2020-12-31,0.8389890671588811
510500.SH,2021-01-04,0.8395923495742007
510500.SH,2021-01-05,0.8398837531137558
510500.SH,2021-01-06,0.8398448323635357
510500.SH,2021-01-07,0.8399558498896247
510500.SH,2021-01-08,0.8400770712909441
510500.SH,2021-01-11,0.8395303326810176
510500.SH,2021-01-12,0.839961336647335
510500.SH,2021-01-13,0.8397720956086715
510500.SH,2021-01-14,0.8394681595521344
510500.SH,2021-01-15,0.8393032729315915
510500.SH,2021-01-18,0.8396946564885496
510500.SH,2021-01-19,0.8395199553446832
510500.SH,2021-01-20,0.8398561748029318
510500.SH,2021-01-21,0.8403109232237829
510500.SH,2021-01-22,0.8403922102682827
510500.SH,2021-01-25,0.8403806934058463
510500.SH,2021-01-26,0.8399834322794422
510500.SH,2021-01-27,0.8399669467015562
510500.SH,2021-01-28,0.8394160583941607
510500.SH,2021-01-29,0.8388382687927107
510500.SH,2021-02-01,0.8391064611904424
510500.SH,2021-02-02,0.8394957983193277
510500.SH,2021-02-03,0.8392504930966469
510500.SH,2021-02-04,0.838911835920809
510500.SH,2021-02-05,0.8383458646616541
510500.SH,2021-02-08,0.83883411915988
510500.SH,2021-02-09,0.8395182747514354
510500.SH,2021-02-10,0.8397950706175574
510500.SH,2021-02-18,0.8403602128530495
510500.SH,2021-02-19,0.8407317729351628
510500.SH,2021-02-22,0.8404616429056347
510500.SH,2021-02-23,0.8404356705241661
510500.SH,2021-02-24,0.8400220659219418
510500.SH,2021-02-25,0.8397782397782398
510500.SH,2021-02-26,0.8390022675736961
510500.SH,2021-03-01,0.8395766606322239
