symbol,dt,open,high,low,close,volume,amount,pre_close,limit_up,limit_down,suspended,data_status,source,updated_at
510300.SH,2020-01-02T15:00:00+08:00,4.12,4.174,4.118,4.149,627623600.0,2603983232.0,4.149,4.564,3.734,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-02T15:00:00+08:00,5.758,5.829,5.723,5.813,235580900.0,1364273248.0,5.813,6.394,5.232,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-03T15:00:00+08:00,4.156,4.162,4.133,4.139,469673800.0,1948030080.0,4.149,4.564,3.734,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-03T15:00:00+08:00,5.813,5.846,5.8,5.824,154494100.0,899177184.0,5.813,6.394,5.232,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-06T15:00:00+08:00,4.126,4.171,4.094,4.123,666504800.0,2760524448.0,4.139,4.553,3.725,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-06T15:00:00+08:00,5.808,5.948,5.795,5.89,222249600.0,1307521808.0,5.824,6.406,5.242,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-07T15:00:00+08:00,4.134,4.16,4.128,4.155,464959500.0,1927362288.0,4.123,4.535,3.711,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-07T15:00:00+08:00,5.888,5.968,5.888,5.966,212656300.0,1260248672.0,5.89,6.479,5.301,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-08T15:00:00+08:00,4.135,4.149,4.097,4.114,562852100.0,2321782208.0,4.155,4.571,3.74,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-08T15:00:00+08:00,5.928,5.962,5.865,5.883,252513700.0,1493383824.0,5.966,6.563,5.369,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-09T15:00:00+08:00,4.138,4.165,4.134,4.158,394431700.0,1636905840.0,4.114,4.525,3.703,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-09T15:00:00+08:00,5.928,5.958,5.907,5.957,234513600.0,1392247760.0,5.883,6.471,5.295,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-10T15:00:00+08:00,4.165,4.176,4.144,4.157,379555000.0,1576677936.0,4.158,4.574,3.742,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-10T15:00:00+08:00,5.97,5.98,5.901,5.932,203424200.0,1206982368.0,5.957,6.553,5.361,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-13T15:00:00+08:00,4.156,4.205,4.141,4.202,373639200.0,1558366384.0,4.157,4.573,3.741,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-13T15:00:00+08:00,5.935,6.035,5.892,6.031,203544200.0,1214042240.0,5.932,6.525,5.339,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-14T15:00:00+08:00,4.202,4.222,4.18,4.184,409962800.0,1723090048.0,4.202,4.622,3.782,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-14T15:00:00+08:00,6.036,6.055,5.999,6.005,188056800.0,1133293952.0,6.031,6.634,5.428,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-15T15:00:00+08:00,4.184,4.19,4.145,4.152,319607400.0,1330016016.0,4.184,4.602,3.766,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-15T15:00:00+08:00,5.997,6.008,5.946,5.987,175765400.0,1051323136.0,6.005,6.606,5.404,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-16T15:00:00+08:00,4.159,4.163,4.135,4.146,416297800.0,1726422320.0,4.152,4.567,3.737,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-16T15:00:00+08:00,5.99,6.015,5.971,5.995,194691800.0,1166818464.0,5.987,6.586,5.388,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-17T15:00:00+08:00,4.152,4.175,4.137,4.151,321627400.0,1335598768.0,4.146,4.561,3.731,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-17T15:00:00+08:00,6.002,6.019,5.945,5.961,259836000.0,1555189616.0,5.995,6.595,5.396,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-20T15:00:00+08:00,4.156,4.183,4.142,4.181,353488300.0,1472153088.0,4.151,4.566,3.736,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-20T15:00:00+08:00,5.97,6.063,5.951,6.061,169553400.0,1019522736.0,5.961,6.557,5.365,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-21T15:00:00+08:00,4.163,4.163,4.1,4.105,618294600.0,2548564528.0,4.181,4.599,3.763,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-21T15:00:00+08:00,6.04,6.044,5.964,5.99,294904500.0,1769694736.0,6.061,6.667,5.455,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-22T15:00:00+08:00,4.089,4.133,4.034,4.119,907393300.0,3709564736.0,4.105,4.516,3.695,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-22T15:00:00+08:00,5.96,6.074,5.885,6.036,273195500.0,1629372736.0,5.99,6.589,5.391,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-01-23T15:00:00+08:00,4.081,4.09,3.956,3.996,753583400.0,3042046032.0,4.119,4.531,3.707,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
510500.SH,2020-01-23T15:00:00+08:00,5.977,6.013,5.764,5.811,413019100.0,2437769712.0,6.036,6.64,5.432,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:35.823162+08:00
510300.SH,2020-02-03T15:00:00+08:00,3.73,3.736,3.636,3.659,1471075800.0,5431562752.0,3.996,4.396,3.596,False,ok,akshare:fund_etf_hist_em,2026-07-01T09:59:23.195658+08:00
