trade_id,order_id,strategy_id,account_id,symbol,side,qty,price,commission,dt,broker_order_id,broker_trade_id
T-1,O-1,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11300.0,7.01,19.8,2025-08-26T15:00:00+08:00,,
T-2,O-2,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11300.0,7.318,20.67,2025-10-17T15:00:00+08:00,,
T-3,O-3,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,17500.0,4.69,20.52,2025-10-22T15:00:00+08:00,,
T-4,O-4,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,17500.0,4.579,20.03,2025-11-24T15:00:00+08:00,,
T-5,O-5,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,17300.0,4.686,20.27,2025-12-02T15:00:00+08:00,,
T-6,O-6,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,17300.0,4.665,20.18,2025-12-03T15:00:00+08:00,,
T-7,O-7,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,17200.0,4.711,20.26,2025-12-08T15:00:00+08:00,,
T-8,O-8,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,17200.0,4.678,20.12,2025-12-12T15:00:00+08:00,,
T-9,O-9,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,10900.0,7.32,19.95,2025-12-22T15:00:00+08:00,,
T-10,O-10,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,10900.0,8.74,23.82,2026-03-03T15:00:00+08:00,,
T-11,O-11,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19900.0,4.64,23.08,2026-03-06T15:00:00+08:00,,
T-12,O-12,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19900.0,4.672,23.24,2026-03-13T15:00:00+08:00,,
T-13,O-13,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11200.0,8.298,23.23,2026-03-16T15:00:00+08:00,,
T-14,O-14,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11200.0,8.265,23.14,2026-03-17T15:00:00+08:00,,
T-15,O-15,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11300.0,8.11,22.91,2026-03-18T15:00:00+08:00,,
T-16,O-16,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11300.0,8.04,22.71,2026-03-19T15:00:00+08:00,,
T-17,O-17,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19500.0,4.732,23.07,2026-04-15T15:00:00+08:00,,
T-18,O-18,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19500.0,4.764,23.22,2026-04-21T15:00:00+08:00,,
T-19,O-19,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,10900.0,8.283,22.57,2026-04-22T15:00:00+08:00,,
T-20,O-20,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,10900.0,8.66,23.6,2026-05-29T15:00:00+08:00,,
T-21,O-21,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19400.0,4.938,23.95,2026-06-03T15:00:00+08:00,,
T-22,O-22,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19400.0,4.764,23.11,2026-06-09T15:00:00+08:00,,
T-23,O-23,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19300.0,4.79,23.11,2026-06-10T15:00:00+08:00,,
T-24,O-24,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19300.0,4.929,23.78,2026-06-24T15:00:00+08:00,,
T-25,O-25,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,10400.0,8.984,23.36,2026-06-25T15:00:00+08:00,,
