symbol,fast,slow,final_value,return_pct,max_drawdown_pct,buy_hold_pct,orders,trades,filled_qty_net
510300.SH,5,20,101540.05,1.54,-6.64,27.57,17,16,-10000.0
510300.SH,10,30,105225.33,5.23,-3.9,27.57,9,9,10000.0
510300.SH,15,45,105532.4,5.53,-4.08,27.57,5,5,10000.0
510300.SH,20,60,98897.57,-1.1,-7.16,27.57,6,6,10000.0
510300.SH,30,90,92885.7,-7.11,-9.61,27.57,3,3,-10000.0
510300.SH,40,120,100494.92,0.49,-5.36,27.57,3,3,10000.0
510500.SH,5,20,111403.73,11.4,-12.37,59.3,9,9,-10000.0
510500.SH,10,30,94361.16,-5.64,-18.47,59.3,7,5,-10000.0
510500.SH,15,45,110046.32,10.05,-8.97,59.3,6,6,0.0
510500.SH,20,60,105864.51,5.86,-14.21,59.3,5,5,10000.0
510500.SH,30,90,117529.39,17.53,-12.88,59.3,6,6,10000.0
510500.SH,40,120,120182.34,20.18,-10.5,59.3,1,1,10000.0
