symbol,dt,open,high,low,close,volume,amount,pre_close,limit_up,limit_down,suspended,data_status,source,updated_at
510500.SH,2025-06-03T15:00:00+08:00,5.68,5.73,5.666,5.703,137506282.0,784046928.0,5.703,6.273,5.133,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-04T15:00:00+08:00,5.704,5.763,5.704,5.749,109525276.0,629142475.0,5.703,6.273,5.133,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-05T15:00:00+08:00,5.756,5.799,5.733,5.784,168585819.0,972358271.0,5.749,6.324,5.174,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-06T15:00:00+08:00,5.783,5.794,5.77,5.785,101074678.0,584109624.0,5.784,6.362,5.206,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-09T15:00:00+08:00,5.795,5.852,5.789,5.825,195862239.0,1141617121.0,5.785,6.364,5.206,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-10T15:00:00+08:00,5.825,5.829,5.742,5.777,182537929.0,1055334689.0,5.825,6.408,5.243,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-11T15:00:00+08:00,5.777,5.848,5.777,5.814,230379588.0,1341105615.0,5.777,6.355,5.199,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-12T15:00:00+08:00,5.809,5.835,5.786,5.825,92233683.0,536522932.0,5.814,6.395,5.233,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-13T15:00:00+08:00,5.814,5.822,5.754,5.776,159690275.0,923057935.0,5.825,6.408,5.243,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-16T15:00:00+08:00,5.755,5.812,5.755,5.797,180202095.0,1044674832.0,5.776,6.354,5.198,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-17T15:00:00+08:00,5.802,5.808,5.769,5.785,223506684.0,1292161009.0,5.797,6.377,5.217,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-18T15:00:00+08:00,5.786,5.79,5.74,5.776,150132837.0,865530177.0,5.785,6.364,5.206,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-19T15:00:00+08:00,5.763,5.785,5.695,5.718,220272397.00000003,1264678283.0,5.776,6.354,5.198,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-20T15:00:00+08:00,5.713,5.729,5.678,5.679,323643966.0,1842188941.0,5.718,6.29,5.146,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-23T15:00:00+08:00,5.668,5.726,5.661,5.712,191781435.0,1093216921.0,5.679,6.247,5.111,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-24T15:00:00+08:00,5.723,5.808,5.723,5.804,384287385.0,2225227275.0,5.712,6.283,5.141,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-25T15:00:00+08:00,5.812,5.919,5.808,5.913,372460096.0,2183573155.0,5.804,6.384,5.224,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-26T15:00:00+08:00,5.905,5.926,5.885,5.888,234396300.99999997,1384474054.0,5.913,6.504,5.322,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-27T15:00:00+08:00,5.894,5.958,5.885,5.91,222940718.00000003,1320386698.0,5.888,6.477,5.299,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-06-30T15:00:00+08:00,5.917,5.968,5.916,5.963,244497354.99999997,1454432701.0,5.91,6.501,5.319,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-01T15:00:00+08:00,5.95,5.984,5.934,5.982,138236116.0,823912323.0,5.963,6.559,5.367,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-02T15:00:00+08:00,5.961,5.966,5.929,5.947,129745488.99999999,771494842.0,5.982,6.58,5.384,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-03T15:00:00+08:00,5.947,5.978,5.935,5.971,119755809.00000001,713616283.0,5.947,6.542,5.352,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-04T15:00:00+08:00,5.958,6.025,5.94,5.963,162617761.0,971146047.0,5.971,6.568,5.374,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-07T15:00:00+08:00,5.957,5.966,5.941,5.951,78703810.0,468406804.0,5.963,6.559,5.367,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-08T15:00:00+08:00,5.951,6.039,5.948,6.031,167485029.0,1006809209.0,5.951,6.546,5.356,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-09T15:00:00+08:00,6.032,6.044,6.0,6.005,153195981.0,923228818.0,6.031,6.634,5.428,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-10T15:00:00+08:00,6.005,6.061,5.997,6.038,130324299.0,785483340.0,6.005,6.606,5.404,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-11T15:00:00+08:00,6.035,6.125,6.017,6.09,249118484.0,1516911950.0,6.038,6.642,5.434,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-14T15:00:00+08:00,6.088,6.099,6.07,6.079,116852000.0,711140340.0,6.09,6.699,5.481,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-15T15:00:00+08:00,6.066,6.111,6.029,6.077,158264921.0,959703847.0,6.079,6.687,5.471,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-16T15:00:00+08:00,6.074,6.128,6.055,6.076,164137854.0,999719287.0,6.077,6.685,5.469,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-17T15:00:00+08:00,6.075,6.148,6.069,6.146,118106787.99999999,722766909.0,6.076,6.684,5.468,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-18T15:00:00+08:00,6.148,6.183,6.135,6.165,160824639.0,990926837.0,6.146,6.761,5.531,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-21T15:00:00+08:00,6.171,6.228,6.17,6.226,255011021.0,1584067722.0,6.165,6.782,5.548,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-22T15:00:00+08:00,6.229,6.295,6.218,6.292,223778742.0,1399576972.0,6.226,6.849,5.603,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-23T15:00:00+08:00,6.295,6.334,6.258,6.27,280302729.0,1765155846.0,6.292,6.921,5.663,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-24T15:00:00+08:00,6.258,6.368,6.257,6.363,207037047.0,1309140764.0,6.27,6.897,5.643,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-25T15:00:00+08:00,6.367,6.377,6.339,6.365,317569211.0,2019458361.0,6.363,6.999,5.727,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-28T15:00:00+08:00,6.365,6.403,6.336,6.391,201757214.0,1286667623.0,6.365,7.002,5.728,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-29T15:00:00+08:00,6.375,6.432,6.335,6.431,213192947.00000003,1358964395.0,6.391,7.03,5.752,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-07-30T15:00:00+08:00,6.408,6.441,6.34,6.389,188924625.0,1210134625.0,6.431,7.074,5.788,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
