trade_id,order_id,strategy_id,account_id,symbol,side,qty,price,commission,dt,broker_order_id,broker_trade_id
T-1,O-1,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,13700.0,5.835,19.98,2020-04-23T15:00:00+08:00,,
T-2,O-2,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,13700.0,5.782,19.8,2020-04-24T15:00:00+08:00,,
T-3,O-3,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,20300.0,3.865,19.61,2020-05-06T15:00:00+08:00,,
T-4,O-4,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,20300.0,3.901,19.8,2020-05-18T15:00:00+08:00,,
T-5,O-5,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,13300.0,5.996,19.94,2020-05-20T15:00:00+08:00,,
T-6,O-6,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,13300.0,5.782,19.23,2020-05-25T15:00:00+08:00,,
T-7,O-7,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,13200.0,5.874,19.38,2020-05-27T15:00:00+08:00,,
T-8,O-8,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,13200.0,6.422,21.19,2020-07-02T15:00:00+08:00,,
T-9,O-9,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,18700.0,4.527,21.16,2020-07-06T15:00:00+08:00,,
T-10,O-10,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,18700.0,4.71,22.02,2020-07-31T15:00:00+08:00,,
T-11,O-11,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11600.0,7.401,21.46,2020-08-04T15:00:00+08:00,,
T-12,O-12,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11600.0,7.387,21.42,2020-08-31T15:00:00+08:00,,
T-13,O-13,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,17500.0,4.919,21.52,2020-09-02T15:00:00+08:00,,
T-14,O-14,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,17500.0,4.684,20.49,2020-09-10T15:00:00+08:00,,
T-15,O-15,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,17600.0,4.707,20.71,2020-09-14T15:00:00+08:00,,
T-16,O-16,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,17600.0,4.695,20.66,2020-09-18T15:00:00+08:00,,
T-17,O-17,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,17100.0,4.815,20.58,2020-09-21T15:00:00+08:00,,
T-18,O-18,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,17100.0,4.703,20.11,2020-09-23T15:00:00+08:00,,
T-19,O-19,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,16500.0,4.888,20.16,2020-10-13T15:00:00+08:00,,
T-20,O-20,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,16500.0,4.737,19.54,2020-10-27T15:00:00+08:00,,
T-21,O-21,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,16400.0,4.759,19.51,2020-10-29T15:00:00+08:00,,
T-22,O-22,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,16400.0,4.759,19.51,2020-11-02T15:00:00+08:00,,
T-23,O-23,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,16400.0,4.8,19.68,2020-11-03T15:00:00+08:00,,
T-24,O-24,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,16400.0,5.481,22.47,2021-02-25T15:00:00+08:00,,
T-25,O-25,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,12400.0,7.08,21.95,2021-03-01T15:00:00+08:00,,
T-26,O-26,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,12400.0,7.034,21.81,2021-03-05T15:00:00+08:00,,
T-27,O-27,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,12200.0,7.109,21.68,2021-04-20T15:00:00+08:00,,
T-28,O-28,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,12200.0,7.363,22.46,2021-05-26T15:00:00+08:00,,
T-29,O-29,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,16700.0,5.346,22.32,2021-05-28T15:00:00+08:00,,
T-30,O-30,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,16700.0,5.24,21.88,2021-06-15T15:00:00+08:00,,
T-31,O-31,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,12000.0,7.313,21.94,2021-06-17T15:00:00+08:00,,
T-32,O-32,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,12000.0,7.55,22.65,2021-07-29T15:00:00+08:00,,
T-33,O-33,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11900.0,7.542,22.44,2021-07-30T15:00:00+08:00,,
T-34,O-34,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11900.0,7.905,23.52,2021-09-30T15:00:00+08:00,,
T-35,O-35,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11700.0,8.048,23.54,2021-10-08T15:00:00+08:00,,
T-36,O-36,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11700.0,7.95,23.25,2021-10-11T15:00:00+08:00,,
T-37,O-37,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,18500.0,5.003,23.14,2021-10-14T15:00:00+08:00,,
T-38,O-38,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,18500.0,4.979,23.03,2021-10-15T15:00:00+08:00,,
T-39,O-39,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,18400.0,5.003,23.01,2021-10-18T15:00:00+08:00,,
T-40,O-40,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,18400.0,4.94,22.72,2021-10-19T15:00:00+08:00,,
T-41,O-41,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,18300.0,5.0,22.88,2021-10-20T15:00:00+08:00,,
T-42,O-42,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,18300.0,4.946,22.63,2021-10-29T15:00:00+08:00,,
T-43,O-43,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,18200.0,4.957,22.55,2021-11-01T15:00:00+08:00,,
T-44,O-44,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,18200.0,4.962,22.58,2021-11-02T15:00:00+08:00,,
T-45,O-45,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,18200.0,4.976,22.64,2021-11-12T15:00:00+08:00,,
T-46,O-46,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,18200.0,4.91,22.34,2021-11-19T15:00:00+08:00,,
T-47,O-47,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11100.0,8.08,22.42,2021-11-22T15:00:00+08:00,,
T-48,O-48,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11100.0,8.193,22.74,2021-12-10T15:00:00+08:00,,
T-49,O-49,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,17500.0,5.137,22.47,2021-12-14T15:00:00+08:00,,
T-50,O-50,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,17500.0,4.953,21.67,2021-12-21T15:00:00+08:00,,
T-51,O-51,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,10700.0,8.206,21.95,2021-12-23T15:00:00+08:00,,
T-52,O-52,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,10700.0,8.177,21.87,2021-12-28T15:00:00+08:00,,
T-53,O-53,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,17700.0,4.96,21.95,2021-12-30T15:00:00+08:00,,
T-54,O-54,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,17700.0,4.979,22.03,2022-01-05T15:00:00+08:00,,
