symbol,interval,bar_open_time,bar_close_time,open,high,low,close,volume,quote_volume,trade_count,source
BTCUSDT,1d,2026-06-01T00:00:00Z,2026-06-01T23:59:59.999000Z,73674.39000000,74092.00000000,70686.68000000,71408.90000000,23921.09184000,1723958338.68287760,4237773,binance_spot_rest
BTCUSDT,1d,2026-06-02T00:00:00Z,2026-06-02T23:59:59.999000Z,71408.90000000,71408.90000000,66193.00000000,66760.83000000,32858.19586000,2253348577.98312800,6250677,binance_spot_rest
BTCUSDT,1d,2026-06-03T00:00:00Z,2026-06-03T23:59:59.999000Z,66760.84000000,67516.00000000,64092.49000000,64142.75000000,30138.30650000,1998349981.89294380,6676358,binance_spot_rest
BTCUSDT,1d,2026-06-04T00:00:00Z,2026-06-04T23:59:59.999000Z,64142.75000000,64764.32000000,61383.56000000,63885.99000000,43577.17571000,2759349733.48938320,9057976,binance_spot_rest
BTCUSDT,1d,2026-06-05T00:00:00Z,2026-06-05T23:59:59.999000Z,63885.99000000,63978.00000000,59130.91000000,61056.47000000,55027.28807000,3379021750.50332800,11658856,binance_spot_rest
BTCUSDT,1d,2026-06-06T00:00:00Z,2026-06-06T23:59:59.999000Z,61056.47000000,61530.05000000,59500.00000000,60884.62000000,19795.58877000,1202325958.46823350,5000874,binance_spot_rest
BTCUSDT,1d,2026-06-07T00:00:00Z,2026-06-07T23:59:59.999000Z,60884.62000000,64234.68000000,60746.00000000,63332.01000000,26612.10443000,1656650772.81370800,4752461,binance_spot_rest
BTCUSDT,1d,2026-06-08T00:00:00Z,2026-06-08T23:59:59.999000Z,63332.01000000,64200.00000000,62408.00000000,63085.99000000,23053.38624000,1462563286.75122030,4887564,binance_spot_rest
ETHUSDT,1d,2026-06-01T00:00:00Z,2026-06-01T23:59:59.999000Z,2007.02000000,2021.50000000,1956.04000000,2006.73000000,374428.28390000,744774481.26642500,3806222,binance_spot_rest
ETHUSDT,1d,2026-06-02T00:00:00Z,2026-06-02T23:59:59.999000Z,2006.73000000,2006.78000000,1839.02000000,1859.84000000,556885.54180000,1073808150.12186500,5759311,binance_spot_rest
ETHUSDT,1d,2026-06-03T00:00:00Z,2026-06-03T23:59:59.999000Z,1859.84000000,1893.07000000,1769.62000000,1813.05000000,584760.48180000,1077611599.89867300,6496256,binance_spot_rest
ETHUSDT,1d,2026-06-04T00:00:00Z,2026-06-04T23:59:59.999000Z,1813.05000000,1820.50000000,1717.28000000,1770.77000000,648306.10510000,1147661693.34122300,8222751,binance_spot_rest
ETHUSDT,1d,2026-06-05T00:00:00Z,2026-06-05T23:59:59.999000Z,1770.76000000,1774.99000000,1540.19000000,1583.40000000,1257013.16080000,2055119895.17678200,13017779,binance_spot_rest
ETHUSDT,1d,2026-06-06T00:00:00Z,2026-06-06T23:59:59.999000Z,1583.40000000,1601.22000000,1505.68000000,1569.69000000,558458.36720000,870946411.10025200,6254953,binance_spot_rest
ETHUSDT,1d,2026-06-07T00:00:00Z,2026-06-07T23:59:59.999000Z,1569.68000000,1721.93000000,1564.10000000,1690.51000000,458280.59090000,745676201.88402300,5095675,binance_spot_rest
ETHUSDT,1d,2026-06-08T00:00:00Z,2026-06-08T23:59:59.999000Z,1690.50000000,1714.50000000,1645.00000000,1690.49000000,480027.31210000,807959902.78797400,5759621,binance_spot_rest
SOLUSDT,1d,2026-06-01T00:00:00Z,2026-06-01T23:59:59.999000Z,82.45000000,83.10000000,79.11000000,81.28000000,2309147.39600000,186789094.88171000,701707,binance_spot_rest
SOLUSDT,1d,2026-06-02T00:00:00Z,2026-06-02T23:59:59.999000Z,81.28000000,81.30000000,72.73000000,74.23000000,3642536.91700000,280742777.63811000,1150607,binance_spot_rest
SOLUSDT,1d,2026-06-03T00:00:00Z,2026-06-03T23:59:59.999000Z,74.23000000,75.71000000,70.93000000,71.61000000,3655245.68000000,268846279.56846000,1261571,binance_spot_rest
SOLUSDT,1d,2026-06-04T00:00:00Z,2026-06-04T23:59:59.999000Z,71.61000000,72.09000000,66.80000000,68.88000000,4928249.49000000,342023023.17545000,1899749,binance_spot_rest
SOLUSDT,1d,2026-06-05T00:00:00Z,2026-06-05T23:59:59.999000Z,68.87000000,69.10000000,61.48000000,63.64000000,7041593.48800000,459201300.24767000,2696738,binance_spot_rest
SOLUSDT,1d,2026-06-06T00:00:00Z,2026-06-06T23:59:59.999000Z,63.64000000,64.86000000,60.13000000,62.20000000,3570841.05600000,222337240.81850000,1364694,binance_spot_rest
SOLUSDT,1d,2026-06-07T00:00:00Z,2026-06-07T23:59:59.999000Z,62.21000000,67.92000000,61.96000000,66.50000000,2941571.37300000,190256045.84914000,1086945,binance_spot_rest
SOLUSDT,1d,2026-06-08T00:00:00Z,2026-06-08T23:59:59.999000Z,66.50000000,68.17000000,64.98000000,66.82000000,3058995.36700000,203980500.89025000,987258,binance_spot_rest
