symbol,interval,bar_open_time,bar_close_time,open,high,low,close,volume,quote_volume,trade_count,source
BTCUSDT,4h,2026-06-01T00:00:00Z,2026-06-01T03:59:59.999000Z,73674.39000000,74092.00000000,73222.00000000,73769.06000000,1797.97503000,132503071.00444900,517267,binance_spot_rest
BTCUSDT,4h,2026-06-01T04:00:00Z,2026-06-01T07:59:59.999000Z,73769.06000000,73841.37000000,72704.00000000,72818.00000000,2313.77580000,169351798.37912210,519944,binance_spot_rest
BTCUSDT,4h,2026-06-01T08:00:00Z,2026-06-01T11:59:59.999000Z,72818.00000000,73095.64000000,72290.00000000,72479.99000000,4064.81004000,295822836.11862430,494971,binance_spot_rest
BTCUSDT,4h,2026-06-01T12:00:00Z,2026-06-01T15:59:59.999000Z,72480.00000000,72610.00000000,71066.33000000,71129.62000000,8608.45364000,617467508.61049070,1508444,binance_spot_rest
BTCUSDT,4h,2026-06-01T16:00:00Z,2026-06-01T19:59:59.999000Z,71129.62000000,71800.73000000,70686.68000000,71595.24000000,4920.23395000,350869050.87428940,715031,binance_spot_rest
BTCUSDT,4h,2026-06-01T20:00:00Z,2026-06-01T23:59:59.999000Z,71595.24000000,71690.00000000,70840.90000000,71408.90000000,2215.84338000,157944073.69590210,482116,binance_spot_rest
BTCUSDT,4h,2026-06-02T00:00:00Z,2026-06-02T03:59:59.999000Z,71408.90000000,71408.90000000,70111.00000000,70953.69000000,3525.64758000,249850079.24951260,740992,binance_spot_rest
BTCUSDT,4h,2026-06-02T04:00:00Z,2026-06-02T07:59:59.999000Z,70953.70000000,71048.00000000,69733.00000000,70118.42000000,4217.43297000,296424153.23844710,754037,binance_spot_rest
BTCUSDT,4h,2026-06-02T08:00:00Z,2026-06-02T11:59:59.999000Z,70118.42000000,70172.00000000,69324.65000000,69461.72000000,3766.33037000,262275224.72913900,710514,binance_spot_rest
BTCUSDT,4h,2026-06-02T12:00:00Z,2026-06-02T15:59:59.999000Z,69461.73000000,69548.13000000,67076.00000000,67304.28000000,9534.68154000,651185416.47911890,1597097,binance_spot_rest
BTCUSDT,4h,2026-06-02T16:00:00Z,2026-06-02T19:59:59.999000Z,67304.29000000,68146.30000000,66432.00000000,67315.14000000,5955.13830000,401049257.91148170,1144705,binance_spot_rest
BTCUSDT,4h,2026-06-02T20:00:00Z,2026-06-02T23:59:59.999000Z,67315.14000000,67923.24000000,66193.00000000,66760.83000000,5858.96510000,392564446.37542870,1303332,binance_spot_rest
BTCUSDT,4h,2026-06-03T00:00:00Z,2026-06-03T03:59:59.999000Z,66760.84000000,67204.15000000,65426.34000000,65849.90000000,5876.92165000,390273983.92057260,1076017,binance_spot_rest
BTCUSDT,4h,2026-06-03T04:00:00Z,2026-06-03T07:59:59.999000Z,65849.90000000,67516.00000000,65834.00000000,67220.03000000,5699.32885000,381781195.60465460,994422,binance_spot_rest
