order_id,strategy_id,account_id,symbol,side,type,qty,price,status,filled_qty,remaining_qty,avg_fill_price,created_at,updated_at,broker_order_id,reject_reason
O-1,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,LIMIT,11300.0,7.01,FILLED,11300.0,0.0,7.01,2025-08-26T09:31:00+08:00,2025-08-26T15:00:00+08:00,,
O-2,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,LIMIT,11300.0,7.318,FILLED,11300.0,0.0,7.318,2025-10-17T09:31:00+08:00,2025-10-17T15:00:00+08:00,,
O-3,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,17500.0,4.69,FILLED,17500.0,0.0,4.69,2025-10-22T09:31:00+08:00,2025-10-22T15:00:00+08:00,,
O-4,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,17500.0,4.579,FILLED,17500.0,0.0,4.579,2025-11-24T09:31:00+08:00,2025-11-24T15:00:00+08:00,,
O-5,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,17300.0,4.686,FILLED,17300.0,0.0,4.686,2025-12-02T09:31:00+08:00,2025-12-02T15:00:00+08:00,,
O-6,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,17300.0,4.665,FILLED,17300.0,0.0,4.665,2025-12-03T09:31:00+08:00,2025-12-03T15:00:00+08:00,,
O-7,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,17200.0,4.711,FILLED,17200.0,0.0,4.711,2025-12-08T09:31:00+08:00,2025-12-08T15:00:00+08:00,,
O-8,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,17200.0,4.678,FILLED,17200.0,0.0,4.678,2025-12-12T09:31:00+08:00,2025-12-12T15:00:00+08:00,,
O-9,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,LIMIT,10900.0,7.32,FILLED,10900.0,0.0,7.32,2025-12-22T09:31:00+08:00,2025-12-22T15:00:00+08:00,,
O-10,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,LIMIT,10900.0,8.74,FILLED,10900.0,0.0,8.74,2026-03-03T09:31:00+08:00,2026-03-03T15:00:00+08:00,,
O-11,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,19900.0,4.64,FILLED,19900.0,0.0,4.64,2026-03-06T09:31:00+08:00,2026-03-06T15:00:00+08:00,,
O-12,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,19900.0,4.672,FILLED,19900.0,0.0,4.672,2026-03-13T09:31:00+08:00,2026-03-13T15:00:00+08:00,,
O-13,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,LIMIT,11200.0,8.298,FILLED,11200.0,0.0,8.298,2026-03-16T09:31:00+08:00,2026-03-16T15:00:00+08:00,,
O-14,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,LIMIT,11200.0,8.265,FILLED,11200.0,0.0,8.265,2026-03-17T09:31:00+08:00,2026-03-17T15:00:00+08:00,,
O-15,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,LIMIT,11300.0,8.11,FILLED,11300.0,0.0,8.11,2026-03-18T09:31:00+08:00,2026-03-18T15:00:00+08:00,,
O-16,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,LIMIT,11300.0,8.04,FILLED,11300.0,0.0,8.04,2026-03-19T09:31:00+08:00,2026-03-19T15:00:00+08:00,,
O-17,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,19500.0,4.732,FILLED,19500.0,0.0,4.732,2026-04-15T09:31:00+08:00,2026-04-15T15:00:00+08:00,,
O-18,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,19500.0,4.764,FILLED,19500.0,0.0,4.764,2026-04-21T09:31:00+08:00,2026-04-21T15:00:00+08:00,,
O-19,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,LIMIT,10900.0,8.283,FILLED,10900.0,0.0,8.283,2026-04-22T09:31:00+08:00,2026-04-22T15:00:00+08:00,,
O-20,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,LIMIT,10900.0,8.66,FILLED,10900.0,0.0,8.66,2026-05-29T09:31:00+08:00,2026-05-29T15:00:00+08:00,,
O-21,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,19400.0,4.938,FILLED,19400.0,0.0,4.938,2026-06-03T09:31:00+08:00,2026-06-03T15:00:00+08:00,,
O-22,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,19400.0,4.764,FILLED,19400.0,0.0,4.764,2026-06-09T09:31:00+08:00,2026-06-09T15:00:00+08:00,,
O-23,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,LIMIT,19300.0,4.79,FILLED,19300.0,0.0,4.79,2026-06-10T09:31:00+08:00,2026-06-10T15:00:00+08:00,,
O-24,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,LIMIT,19300.0,4.929,FILLED,19300.0,0.0,4.929,2026-06-24T09:31:00+08:00,2026-06-24T15:00:00+08:00,,
O-25,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,LIMIT,10400.0,8.984,FILLED,10400.0,0.0,8.984,2026-06-25T09:31:00+08:00,2026-06-25T15:00:00+08:00,,
