symbol,dt,open,high,low,close,volume,amount,pre_close,limit_up,limit_down,suspended,data_status,source,updated_at
510300.SH,2025-06-03T15:00:00+08:00,3.946,3.972,3.942,3.957,596786798.0,2361902723.0,3.957,4.353,3.561,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-04T15:00:00+08:00,3.959,3.985,3.958,3.974,464543350.0,1846404388.0,3.957,4.353,3.561,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-05T15:00:00+08:00,3.978,3.994,3.967,3.984,531965733.0,2116243913.0,3.974,4.371,3.577,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-06T15:00:00+08:00,3.987,3.999,3.978,3.986,488880795.0,1948178948.0,3.984,4.382,3.586,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-09T15:00:00+08:00,3.989,4.01,3.984,3.995,581098178.0,2322756628.0,3.986,4.385,3.587,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-10T15:00:00+08:00,3.997,4.005,3.958,3.972,771051770.0,3069054930.0,3.995,4.395,3.596,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-11T15:00:00+08:00,3.974,4.024,3.974,4.004,1103509525.0,4422015632.0,3.972,4.369,3.575,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-12T15:00:00+08:00,3.998,4.013,3.98,4.006,690087151.0,2758909222.0,4.004,4.404,3.604,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-13T15:00:00+08:00,3.998,4.002,3.967,3.98,698016832.0,2779843230.0,4.006,4.407,3.605,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-16T15:00:00+08:00,3.974,3.994,3.971,3.99,649326744.0,2586770171.0,3.98,4.378,3.582,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-17T15:00:00+08:00,3.991,3.997,3.974,3.989,482891300.0,1925078391.0,3.99,4.389,3.591,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-18T15:00:00+08:00,3.903,3.91,3.882,3.904,480803409.99999994,1874167101.0,3.989,4.388,3.59,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-19T15:00:00+08:00,3.898,3.899,3.863,3.873,600788572.0,2331339243.0,3.904,4.294,3.514,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-20T15:00:00+08:00,3.872,3.888,3.871,3.878,423044140.00000006,1641824026.0,3.873,4.26,3.486,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-23T15:00:00+08:00,3.869,3.902,3.862,3.891,749244714.0,2908735828.0,3.878,4.266,3.49,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-24T15:00:00+08:00,3.896,3.95,3.896,3.936,1224554880.0,4815432117.0,3.891,4.28,3.502,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-25T15:00:00+08:00,3.939,4.003,3.935,4.001,1724116122.0,6841352725.0,3.936,4.33,3.542,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-26T15:00:00+08:00,3.995,4.004,3.985,3.986,937967872.0000001,3745893284.0,4.001,4.401,3.601,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
510300.SH,2025-06-27T15:00:00+08:00,3.99,4.013,3.958,3.963,1069691383.0,4258505726.0,3.986,4.385,3.587,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:48:13.672828+08:00
